punturin valenzuela,198,75
bagbaguin valenzuela,218,123
valenzuela alert,161,158
ugong valenzuela,229,166
catmon,139,199
lasalle araneta,211,198
navotas,127,234
quezon city sci,266,219
pagasa science garden,288,246
asti,339,239
EFCOS,365,324
Balut PS,162,269
UDM,185,334
San Andres,226,350
Manda City Hall,273,359
Xavier School,283,315
Red Training Center,353,371
RAVE,381,367
Pateros Technological,332,403
Tapayan PS,412,424
Libertad PS,196,418
NAMRIA,285,434
CAAP,223,471
TUP Taguig,276,482
DOST Bicutan,303,516
Elias Aldana Brgy Hall,181,538
Greenheights Subd,247,545
Collegio de Muntinlupa,301,572
Dr Filemon,232,605
Las Pinas Sci High,189,613
Bayanan Elementary,304,651
Anabu,115,678
New Bilibid,273,698